City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kiama,AU,60.58,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
3,Castro,BR,68.52,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
6,Cascais,PT,69.94,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
9,Thompson,CA,66.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
11,Port Alfred,ZA,59.63,scattered clouds,-33.5906,26.891,The Halyards Hotel
14,Busselton,AU,51.76,overcast clouds,-33.65,115.3333,Observatory Guest House
16,Vardo,NO,51.78,broken clouds,70.3705,31.1107,Vardø Hotel AS
22,Marawi,PH,69.31,overcast clouds,7.9986,124.2928,Derogongan Residence
27,Mataura,NZ,57.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
30,Cidreira,BR,68.38,scattered clouds,-30.1811,-50.2056,Hotel Castelo
31,Saskylakh,RU,53.8,overcast clouds,71.9167,114.0833,
32,Bluff,NZ,57.79,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
34,Vestmannaeyjar,IS,53.29,clear sky,63.4427,-20.2734,Glamping & Camping
35,Hervey Bay,AU,65.01,broken clouds,-25.2986,152.8535,Shelly Bay Resort
41,Batagay,RU,50.11,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
43,Cap Malheureux,MU,67.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
48,Muravlenko,RU,64.11,scattered clouds,63.7898,74.523,Hostel Rus Muravlenko
50,Sioux Lookout,CA,69.87,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
52,Talnakh,RU,60.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
57,Tigre,AR,53.22,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
58,Pangnirtung,CA,50.0,broken clouds,66.1451,-65.7125,Kilabuk Lodge
61,San Vicente De Canete,PE,65.95,overcast clouds,-13.0751,-76.3835,Hotel Konford
62,Yellowknife,CA,64.92,broken clouds,62.456,-114.3525,The Explorer Hotel
64,Kodiak,US,62.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
65,Severo-Kurilsk,RU,54.63,broken clouds,50.6789,156.125,Kak Doma
66,Kenai,US,67.03,broken clouds,60.5544,-151.2583,Aspen Extended Stay Suites
69,Asau,RO,67.28,clear sky,46.4333,26.4,Casa Mika Ciobanus
70,Narrabri,AU,60.53,light rain,-30.3167,149.7833,Crossroads Hotel
74,Barrow,US,56.32,overcast clouds,71.2906,-156.7887,King Eider Inn
77,Alice Springs,AU,51.35,few clouds,-23.7,133.8833,Desert Palms Alice Springs
78,Margate,GB,68.88,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
81,Flinders,AU,60.39,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
85,Kununurra,AU,64.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
87,Plerin,FR,60.21,clear sky,48.5425,-2.7798,Hotel Ker Izel
89,Hay River,CA,64.38,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
92,Cape Town,ZA,54.91,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
94,Malinovskiy,RU,61.74,scattered clouds,61.1953,62.8397,
95,Lukovetskiy,RU,61.02,overcast clouds,64.2956,41.9211,Provintsiya
97,Brae,GB,50.77,few clouds,60.3964,-1.353,Busta House Hotel
103,East London,ZA,64.31,overcast clouds,-33.0153,27.9116,Tu Casa
108,Prince Rupert,CA,62.29,overcast clouds,54.3161,-130.3201,Crest Hotel
109,Saint-Augustin,CA,64.2,overcast clouds,51.226,-58.6502,
110,Kemise,ET,67.87,light rain,10.7167,39.8667,Hussen Endris
113,Plettenberg Bay,ZA,55.96,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
