City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kiama,AU,-34.6833,150.8667,60.58,78,0,5.01,clear sky
1,Albany,US,42.6001,-73.9662,95.59,34,35,8.93,moderate rain
2,Ushuaia,AR,-54.8,-68.3,40.66,70,75,1.14,broken clouds
3,Castro,BR,-24.7911,-50.0119,68.52,50,81,5.7,broken clouds
4,Along,IN,28.1667,94.7667,75.16,98,100,0.92,overcast clouds
5,Calvinia,ZA,-31.4707,19.776,48.96,72,1,1.99,clear sky
6,Cascais,PT,38.6979,-9.4215,69.94,70,78,18.01,broken clouds
7,Hirara,JP,24.8,125.2833,84.81,72,32,6.15,scattered clouds
8,Bengkulu,ID,-3.8004,102.2655,73.72,90,97,3.51,overcast clouds
9,Thompson,CA,55.7435,-97.8558,66.36,39,75,3.44,broken clouds
10,Georgetown,MY,5.4112,100.3354,80.89,92,20,3.44,few clouds
11,Port Alfred,ZA,-33.5906,26.891,59.63,82,49,6.08,scattered clouds
12,Guerrero Negro,MX,27.9769,-114.0611,80.31,54,1,16.28,clear sky
13,Pevek,RU,69.7008,170.3133,36.79,95,100,6.91,overcast clouds
14,Busselton,AU,-33.65,115.3333,51.76,74,100,5.61,overcast clouds
15,Avarua,CK,-21.2078,-159.775,77.05,73,75,18.41,broken clouds
16,Vardo,NO,70.3705,31.1107,51.78,93,75,2.3,broken clouds
17,Jamestown,US,42.097,-79.2353,84.02,49,0,12.66,clear sky
18,Gillette,US,44.2911,-105.5022,96.03,15,0,5.01,clear sky
19,Rikitea,PF,-23.1203,-134.9692,70.93,70,96,19.35,overcast clouds
20,Rodos,GR,36.4408,28.2225,78.78,80,0,13.8,clear sky
21,Leningradskiy,RU,69.3833,178.4167,37.08,96,100,8.81,overcast clouds
22,Marawi,PH,7.9986,124.2928,69.31,91,100,2.28,overcast clouds
23,Vaini,TO,-21.2,-175.2,78.96,83,75,10.36,broken clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,83,0,9.22,clear sky
25,Sulangan,PH,11.1373,123.7228,79.83,81,100,6.91,overcast clouds
26,Tasiilaq,GL,65.6145,-37.6368,41.16,84,100,1.68,overcast clouds
27,Mataura,NZ,-46.1927,168.8643,57.47,89,100,5.32,overcast clouds
28,Waipawa,NZ,-41.4122,175.5153,46.83,84,36,8.19,scattered clouds
29,Atuona,PF,-9.8,-139.0333,77.49,71,17,16.93,few clouds
30,Cidreira,BR,-30.1811,-50.2056,68.38,77,47,6.96,scattered clouds
31,Saskylakh,RU,71.9167,114.0833,53.8,70,100,5.17,overcast clouds
32,Bluff,NZ,-46.6,168.3333,57.79,65,100,21.79,overcast clouds
33,Bredasdorp,ZA,-34.5322,20.0403,49.06,92,93,5.93,overcast clouds
34,Vestmannaeyjar,IS,63.4427,-20.2734,53.29,73,3,19.48,clear sky
35,Hervey Bay,AU,-25.2986,152.8535,65.01,94,65,5.01,broken clouds
36,Kapaa,US,22.0752,-159.319,83.12,68,20,9.22,few clouds
37,Kieta,PG,-6.2167,155.6333,80.49,79,97,3.38,light rain
38,Longyearbyen,SJ,78.2186,15.6401,46.53,95,100,0.67,overcast clouds
39,Tiksi,RU,71.6872,128.8694,46.51,68,92,0.36,overcast clouds
40,Vanimo,PG,-2.6741,141.3028,76.3,88,100,3.83,overcast clouds
41,Batagay,RU,67.6333,134.6333,50.11,70,100,1.92,overcast clouds
42,Ribeira Grande,PT,38.5167,-28.7,75.6,94,40,3.44,scattered clouds
43,Cap Malheureux,MU,-19.9842,57.6142,67.46,78,18,5.01,few clouds
44,Bethel,US,41.3712,-73.414,95.65,55,0,9.22,clear sky
45,Kavieng,PG,-2.5744,150.7967,82.2,76,100,12.8,overcast clouds
46,Mahon,ES,39.8885,4.2658,79.36,73,0,2.3,clear sky
47,Pacifica,US,37.6138,-122.4869,89.22,75,20,18.41,haze
48,Muravlenko,RU,63.7898,74.523,64.11,50,44,10.56,scattered clouds
49,San Francisco,US,37.7749,-122.4194,96.03,74,20,18.41,few clouds
50,Sioux Lookout,CA,50.1001,-91.917,69.87,52,75,2.3,broken clouds
51,Zhanjiang,CN,21.2815,110.3427,79.77,78,100,3.96,overcast clouds
52,Talnakh,RU,69.4865,88.3972,60.21,80,99,6.62,overcast clouds
53,Mount Gambier,AU,-37.8333,140.7667,44.73,96,92,6.49,overcast clouds
54,Weligama,LK,5.9667,80.4167,78.03,83,100,16.42,overcast clouds
55,Adrar,MR,20.5022,-10.0711,97.5,26,1,18.45,clear sky
56,Padang,ID,-0.9492,100.3543,73.45,81,100,3.04,light rain
57,Tigre,AR,-34.426,-58.5796,53.22,64,0,5.75,clear sky
58,Pangnirtung,CA,66.1451,-65.7125,50.0,76,75,8.05,broken clouds
59,Heihe,CN,50.2441,127.4902,72.18,97,100,19.86,moderate rain
60,Vertientes,CU,21.2594,-78.1464,90.21,55,92,8.9,overcast clouds
61,San Vicente De Canete,PE,-13.0751,-76.3835,65.95,72,94,7.76,overcast clouds
62,Yellowknife,CA,62.456,-114.3525,64.92,48,75,10.36,broken clouds
63,Dandong,CN,40.1292,124.3947,75.63,98,74,5.77,moderate rain
64,Kodiak,US,57.79,-152.4072,62.11,72,100,3.44,overcast clouds
65,Severo-Kurilsk,RU,50.6789,156.125,54.63,83,74,11.27,broken clouds
66,Kenai,US,60.5544,-151.2583,67.03,77,75,6.91,broken clouds
67,Saint-Georges,GD,12.0564,-61.7485,83.88,74,20,19.57,few clouds
68,Monrovia,LR,6.3005,-10.7969,74.97,82,100,11.23,overcast clouds
69,Asau,RO,46.4333,26.4,67.28,78,5,4.68,clear sky
70,Narrabri,AU,-30.3167,149.7833,60.53,94,100,4.0,light rain
71,Zabolotiv,UA,48.4705,25.2857,70.02,63,85,3.06,overcast clouds
72,Hilo,US,19.7297,-155.09,87.28,71,0,9.22,clear sky
73,Fairbanks,US,64.8378,-147.7164,74.08,52,20,8.05,few clouds
74,Barrow,US,71.2906,-156.7887,56.32,62,92,15.61,overcast clouds
75,Cherskiy,RU,68.75,161.3,44.1,85,100,8.21,overcast clouds
76,Bathsheba,BB,13.2167,-59.5167,84.81,87,40,18.41,scattered clouds
77,Alice Springs,AU,-23.7,133.8833,51.35,71,22,5.75,few clouds
78,Margate,GB,51.3813,1.3862,68.88,73,100,3.0,overcast clouds
79,Cayenne,GF,4.9333,-52.3333,84.24,14,0,10.36,clear sky
80,Tabriz,IR,38.08,46.2919,78.26,44,0,16.11,clear sky
81,Flinders,AU,-34.5833,150.8552,60.39,81,0,1.99,clear sky
82,Victoria,HK,22.2855,114.1577,78.85,95,100,1.01,light rain
83,Lavrentiya,RU,65.5833,-171.0,49.84,89,97,8.39,light rain
84,Faanui,PF,-16.4833,-151.75,77.4,78,44,25.23,light rain
85,Kununurra,AU,-15.7667,128.7333,64.38,94,74,0.0,broken clouds
86,Grand Gaube,MU,-20.0064,57.6608,70.2,78,18,5.01,few clouds
87,Plerin,FR,48.5425,-2.7798,60.21,79,0,5.75,clear sky
88,Ban Nahin,LA,18.2418,104.2122,75.65,98,100,1.05,overcast clouds
89,Hay River,CA,60.8156,-115.7999,64.38,39,40,10.36,scattered clouds
90,Santa Cruz,BO,-17.8,-63.1667,78.85,53,75,16.11,broken clouds
91,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,87,100,18.41,overcast clouds
92,Cape Town,ZA,-33.9258,18.4232,54.91,89,20,10.36,few clouds
93,Emirdag,TR,39.0197,31.15,73.33,62,74,4.68,broken clouds
94,Malinovskiy,RU,61.1953,62.8397,61.74,65,37,4.83,scattered clouds
95,Lukovetskiy,RU,64.2956,41.9211,61.02,84,94,5.41,overcast clouds
96,Abu Kamal,SY,34.4506,40.9171,98.13,17,1,5.97,clear sky
97,Brae,GB,60.3964,-1.353,50.77,78,17,7.78,few clouds
98,Muscle Shoals,US,34.7448,-87.6675,89.26,61,0,6.91,clear sky
99,Rio Gallegos,AR,-51.6226,-69.2181,37.45,93,20,6.91,few clouds
100,Honavar,IN,14.2833,74.45,77.34,93,100,11.12,moderate rain
101,Tamale,GH,9.4008,-0.8393,75.22,80,92,3.8,overcast clouds
102,Hithadhoo,MV,-0.6,73.0833,81.03,70,99,11.52,overcast clouds
103,East London,ZA,-33.0153,27.9116,64.31,71,100,4.16,overcast clouds
104,Aleksandrov Gay,RU,50.147,48.5704,79.27,32,32,10.42,scattered clouds
105,Bela,IN,25.9333,81.9833,82.87,80,99,6.33,overcast clouds
106,New Norfolk,AU,-42.7826,147.0587,43.92,68,62,2.51,broken clouds
107,Jiuquan,CN,39.7432,98.5174,77.86,29,6,3.53,clear sky
108,Prince Rupert,CA,54.3161,-130.3201,62.29,79,100,6.91,overcast clouds
109,Saint-Augustin,CA,51.226,-58.6502,64.2,88,93,17.4,overcast clouds
110,Kemise,ET,10.7167,39.8667,67.87,77,9,5.39,light rain
111,Ancud,CL,-41.8697,-73.8203,43.23,67,100,3.8,overcast clouds
112,Jiayuguan,CN,39.8167,98.3,77.31,31,14,1.72,few clouds
113,Plettenberg Bay,ZA,-34.0527,23.3716,55.96,85,100,2.75,overcast clouds
114,Iqaluit,CA,63.7506,-68.5145,43.7,87,75,6.91,broken clouds
115,Tazovskiy,RU,67.4667,78.7,53.85,82,100,11.34,overcast clouds
116,Port Washington,US,40.8257,-73.6982,93.78,56,20,17.27,few clouds
117,Anadyr,RU,64.75,177.4833,57.7,76,0,4.47,light rain
118,Chernyshevskiy,RU,63.0128,112.4714,49.89,93,100,3.69,overcast clouds
119,Vao,NC,-22.6667,167.4833,72.01,84,98,17.0,overcast clouds
120,Yinchuan,CN,38.4681,106.2731,78.08,66,8,4.45,clear sky
121,Okhotsk,RU,59.3833,143.3,57.65,92,100,5.26,overcast clouds
122,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,0.0,broken clouds
123,Ponta Do Sol,PT,32.6667,-17.1,74.03,78,4,8.08,clear sky
124,Fukue,JP,32.6881,128.8419,82.85,82,68,13.09,broken clouds
125,Charleston,US,32.7766,-79.9309,89.78,66,20,13.8,few clouds
126,Myaundzha,RU,63.0494,147.1858,60.98,83,86,3.87,overcast clouds
127,Skelleftea,SE,64.7507,20.9528,62.96,100,89,8.05,overcast clouds
128,Qaqortoq,GL,60.7167,-46.0333,48.02,83,95,4.16,overcast clouds
129,Lebu,CL,-37.6167,-73.65,50.7,66,99,5.3,overcast clouds
130,Bull Savanna,JM,17.8868,-77.5902,83.25,64,97,18.05,overcast clouds
131,Yerbogachen,RU,61.2767,108.0108,50.86,90,100,1.19,overcast clouds
132,Labuhan,ID,-6.8844,112.2051,73.74,84,3,9.17,clear sky
133,Lagoa,PT,39.05,-27.9833,75.7,80,2,3.36,light rain
134,Lasa,IT,46.6166,10.7002,74.28,82,56,2.13,broken clouds
135,Balkhash,KZ,46.844,74.9804,69.71,60,14,11.34,few clouds
136,Vila Velha,BR,-20.3297,-40.2925,75.15,77,0,14.97,clear sky
137,Mae Sai,TH,20.4335,99.8762,72.75,99,100,0.87,overcast clouds
138,Korla,CN,41.7597,86.1469,81.79,34,1,3.4,clear sky
139,Evensk,RU,61.95,159.2333,52.99,97,100,7.54,overcast clouds
140,Solwezi,ZM,-12.1688,26.3894,61.03,44,0,2.3,clear sky
141,Laguna,US,38.421,-121.4238,102.15,21,0,11.5,clear sky
142,Constitucion,CL,-35.3333,-72.4167,54.23,77,100,10.13,overcast clouds
143,Vanavara,RU,60.34,102.2797,50.97,94,96,2.44,light rain
144,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,53,7.0,broken clouds
145,Oranjemund,NA,-28.55,16.4333,53.22,88,0,8.3,clear sky
146,Djambala,CG,-2.5447,14.7533,77.86,45,19,3.58,few clouds
147,Katobu,ID,-4.9408,122.5276,71.15,92,98,2.04,overcast clouds
148,Ocean City,US,39.2776,-74.5746,95.29,71,2,8.01,clear sky
149,Teguise,ES,29.0605,-13.564,70.02,78,20,23.02,few clouds
150,Samarai,PG,-10.6167,150.6667,79.43,85,45,11.9,scattered clouds
151,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,90,86,5.68,light rain
152,Hami,CN,42.8,93.45,88.09,22,91,10.71,overcast clouds
153,Mount Isa,AU,-20.7333,139.5,67.77,68,79,0.0,broken clouds
154,Lesnoy,RU,57.6198,63.0784,57.83,80,18,3.98,few clouds
155,Saint-Philippe,RE,-21.3585,55.7679,65.21,79,32,11.05,scattered clouds
156,Shreveport,US,32.5251,-93.7502,96.06,50,0,6.91,clear sky
157,Kwinana,AU,-32.25,115.7667,41.14,70,91,5.03,overcast clouds
158,Tuktoyaktuk,CA,69.4541,-133.0374,68.0,40,75,6.91,broken clouds
159,Alofi,NU,-19.0595,-169.9187,78.69,69,40,17.27,scattered clouds
160,South Valley,US,35.0101,-106.6781,98.38,28,75,6.91,broken clouds
161,Dikson,RU,73.5069,80.5464,44.13,100,100,9.89,light rain
162,Saravan,AM,39.7196,45.6483,65.5,63,49,6.71,scattered clouds
163,Banjar,ID,-8.19,114.9675,71.83,83,5,5.41,clear sky
164,Makakilo City,US,21.3469,-158.0858,83.95,62,100,12.66,light rain
165,Muros,ES,42.7762,-9.0603,71.69,73,77,18.57,broken clouds
166,Chingirlau,KZ,51.095,54.0814,68.54,48,2,9.57,clear sky
167,Ostrovnoy,RU,68.0531,39.5131,62.22,86,93,16.35,overcast clouds
168,Chokurdakh,RU,70.6333,147.9167,45.57,69,100,14.34,overcast clouds
169,Santa Rosa,PH,14.3122,121.1114,78.78,96,100,4.5,heavy intensity rain
170,Zhanaozen,KZ,43.3,52.8,82.58,29,0,13.09,clear sky
171,Bintulu,MY,3.1667,113.0333,75.61,100,40,4.61,scattered clouds
172,Erzin,TR,36.9559,36.2,77.04,79,0,1.3,clear sky
173,Rawson,AR,-43.3002,-65.1023,47.41,47,51,23.15,broken clouds
174,Westport,US,41.1415,-73.3579,94.14,57,0,14.97,clear sky
175,Bulz,RO,46.9167,22.6833,65.41,52,0,3.89,clear sky
176,Tarauaca,BR,-8.1614,-70.7656,80.64,73,100,3.6,heavy intensity rain
177,Miracema Do Tocantins,BR,-9.5618,-48.3967,91.11,26,25,3.69,scattered clouds
178,Grand Forks,US,47.9417,-97.4337,83.93,47,0,20.71,clear sky
179,Palu,ID,-0.8917,119.8707,74.35,96,66,2.73,broken clouds
180,Upernavik,GL,72.7868,-56.1549,44.62,74,100,11.25,overcast clouds
181,Hobart,AU,-42.8794,147.3294,44.28,89,0,4.61,clear sky
182,Dicabisagan,PH,17.0818,122.4157,78.06,91,100,1.63,moderate rain
183,Yumen,CN,40.2833,97.2,79.03,30,70,6.87,broken clouds
184,Marystown,CA,47.1666,-55.1483,71.85,100,99,5.01,overcast clouds
185,Airai,TL,-8.9266,125.4092,55.13,79,13,2.33,few clouds
186,Roros,NO,62.5747,11.3842,46.24,93,100,3.44,light rain
187,Ballitoville,ZA,-29.539,31.2144,66.34,72,75,4.61,broken clouds
188,Pak Phanang,TH,8.3511,100.202,78.35,78,100,5.41,overcast clouds
189,Saint-Francois,FR,46.4154,3.9054,72.84,73,100,3.44,overcast clouds
190,Gizo,SB,-8.103,156.8419,82.11,74,9,5.99,clear sky
191,Nioro,GM,13.35,-15.75,77.77,89,100,4.88,overcast clouds
192,Sukhinichi,RU,54.0999,35.3425,63.54,93,75,7.09,broken clouds
193,Saint George,US,37.1041,-113.5841,100.8,28,0,19.57,clear sky
194,Pochutla,MX,15.7432,-96.4661,88.83,70,67,8.08,broken clouds
195,Butaritari,KI,3.0707,172.7902,81.41,76,81,11.21,broken clouds
196,Daru,PG,-9.0763,143.2092,78.42,90,97,12.84,overcast clouds
197,Annau,TM,37.8876,58.516,78.3,34,75,2.3,broken clouds
198,Tual,ID,-5.6667,132.75,79.47,85,100,6.89,overcast clouds
199,Torrox,ES,36.7579,-3.9523,82.4,59,0,1.99,clear sky
200,Kruisfontein,ZA,-34.0033,24.7314,52.23,91,71,4.47,broken clouds
201,Hermanus,ZA,-34.4187,19.2345,47.8,78,98,6.42,overcast clouds
202,Saldanha,ZA,-33.0117,17.9442,46.45,83,55,7.18,broken clouds
203,Bulungu,CD,-4.55,18.6,87.48,33,88,3.18,overcast clouds
204,Lorengau,PG,-2.0226,147.2712,81.55,80,100,8.99,overcast clouds
205,Saint-Ambroise,CA,48.5501,-71.3324,80.91,93,96,6.22,overcast clouds
206,Bundaberg,AU,-24.85,152.35,62.89,99,100,6.91,overcast clouds
207,Shenjiamen,CN,29.9576,122.298,83.19,86,1,18.3,clear sky
208,Tondano,ID,1.3038,124.9112,68.11,91,98,2.77,overcast clouds
209,Kavaratti,IN,10.5669,72.642,78.75,85,100,31.36,light rain
210,Lerwick,GB,60.1545,-1.1494,53.6,79,14,8.03,few clouds
211,Karwar,IN,14.8,74.1333,77.09,91,100,10.96,light rain
212,Hays,US,30.0502,-98.0336,104.59,31,70,11.41,broken clouds
213,Codrington,AU,-38.2667,141.9667,47.53,92,87,11.77,overcast clouds
214,Port Elizabeth,ZA,-33.918,25.5701,52.09,87,0,5.75,clear sky
215,Geraldton,AU,-28.7667,114.6,48.61,93,100,6.91,overcast clouds
